#;Name;Type 1;Type 2;Total;HP
733;Scatterbug;Bug;;200;38
734;Spewpa;Bug;;213;45
735;Vivillon;Bug;Flying;411;80
736;Litleo;Fire;Normal;369;62
737;Pyroar;Fire;Normal;507;86
738;Flab̩b̩;Fairy;;303;44
739;Floette;Fairy;;371;54
740;Florges;Fairy;;552;78
741;Skiddo;Grass;;350;66
742;Gogoat;Grass;;531;123
743;Pancham;Fighting;;348;67
744;Pangoro;Fighting;Dark;495;95
745;Furfrou;Normal;;472;75
746;Espurr;Psychic;;355;62
747;MeowsticMale;Psychic;;466;74
748;MeowsticFemale;Psychic;;466;74
749;Honedge;Steel;Ghost;325;45
750;Doublade;Steel;Ghost;448;59
751;AegislashBlade Forme;Steel;Ghost;520;60
752;AegislashShield Forme;Steel;Ghost;520;60
753;Spritzee;Fairy;;341;78
754;Aromatisse;Fairy;;462;101
755;Swirlix;Fairy;;341;62
756;Slurpuff;Fairy;;480;82
757;Inkay;Dark;Psychic;288;53
758;Malamar;Dark;Psychic;482;86
759;Binacle;Rock;Water;306;42
760;Barbaracle;Rock;Water;500;72
761;Skrelp;Poison;Water;320;50
762;Dragalge;Poison;Dragon;494;65
763;Clauncher;Water;;330;50
764;Clawitzer;Water;;500;71
765;Helioptile;Electric;Normal;289;44
766;Heliolisk;Electric;Normal;481;62
767;Tyrunt;Rock;Dragon;362;58
768;Tyrantrum;Rock;Dragon;521;82
769;Amaura;Rock;Ice;362;77
770;Aurorus;Rock;Ice;521;123
771;Sylveon;Fairy;;525;95
772;Hawlucha;Fighting;Flying;500;78
773;Dedenne;Electric;Fairy;431;67
774;Carbink;Rock;Fairy;500;50
775;Goomy;Dragon;;300;45
776;Sliggoo;Dragon;;452;68
777;Goodra;Dragon;;600;90
778;Klefki;Steel;Fairy;470;57
779;Phantump;Ghost;Grass;309;43
780;Trevenant;Ghost;Grass;474;85
781;PumpkabooAverage Size;Ghost;Grass;335;49
782;PumpkabooSmall Size;Ghost;Grass;335;44
783;PumpkabooLarge Size;Ghost;Grass;335;54
784;PumpkabooSuper Size;Ghost;Grass;335;59
785;GourgeistAverage Size;Ghost;Grass;494;65
786;GourgeistSmall Size;Ghost;Grass;494;55
787;GourgeistLarge Size;Ghost;Grass;494;75
788;GourgeistSuper Size;Ghost;Grass;494;85
789;Bergmite;Ice;;304;55
790;Avalugg;Ice;;514;95
791;Noibat;Flying;Dragon;245;40
792;Noivern;Flying;Dragon;535;85
793;Xerneas;Fairy;;680;126
794;Yveltal;Dark;Flying;680;126
795;Zygarde50% Forme;Dragon;Ground;600;108
796;Diancie;Rock;Fairy;600;50
797;DiancieMega Diancie;Rock;Fairy;700;50
798;HoopaHoopa Confined;Psychic;Ghost;600;80
799;HoopaHoopa Unbound;Psychic;Dark;680;80
800;Volcanion;Fire;Water;600;80
